product_id,product_name,competitor_name,competitor_url,competitor_sku,competitor_price
"231","French Cuff Cotton Twill Oxford","Flipkart","","",""
"232","French Cuff Cotton Twill Oxford","Flipkart","","",""
"233","French Cuff Cotton Twill Oxford","Flipkart","","",""
"234","Slim fit Dobby Oxford Shirt","Flipkart","","",""
"235","Slim fit Dobby Oxford Shirt","Flipkart","","",""
"236","Slim fit Dobby Oxford Shirt","Flipkart","","",""
"237","Plaid Cotton Shirt","Flipkart","","",""
"238","Plaid Cotton Shirt","Flipkart","","",""
"239","Plaid Cotton Shirt","Flipkart","","",""
"240","Sullivan Sport Coat","Flipkart","","",""
"241","Sullivan Sport Coat","Flipkart","","",""
"242","Sullivan Sport Coat","Flipkart","","",""
"243","Linen Blazer","Flipkart","","",""
"244","Linen Blazer","Flipkart","","",""
"245","Linen Blazer","Flipkart","","",""
"246","Stretch Cotton Blazer","Flipkart","","",""
"247","Stretch Cotton Blazer","Flipkart","","",""
"248","Stretch Cotton Blazer","Flipkart","","",""
"249","Chelsea Tee","Flipkart","","",""
"250","Chelsea Tee","Flipkart","","",""
"251","Chelsea Tee","Flipkart","","",""
"252","Chelsea Tee","Flipkart","","",""
"253","Chelsea Tee","Flipkart","","",""
"254","Chelsea Tee","Flipkart","","",""
"255","Merino V-neck Pullover Sweater","Flipkart","","",""
"256","Merino V-neck Pullover Sweater","Flipkart","","",""
"257","Merino V-neck Pullover Sweater","Flipkart","","",""
"258","Lexington Cardigan Sweater","Flipkart","","",""
"259","Lexington Cardigan Sweater","Flipkart","","",""
"260","Lexington Cardigan Sweater","Flipkart","","",""
"261","Core Striped Sport Shirt","Flipkart","","",""
"262","Core Striped Sport Shirt","Flipkart","","",""
"263","Core Striped Sport Shirt","Flipkart","","",""
"267","Bowery Chino Pants","Flipkart","","",""
"268","Bowery Chino Pants","Flipkart","","",""
"269","Bowery Chino Pants","Flipkart","","",""
"270","The Essential Boot Cut Jean","Flipkart","","",""
"271","The Essential Boot Cut Jean","Flipkart","","",""
"272","The Essential Boot Cut Jean","Flipkart","","",""
"273","The Essential Boot Cut Jean","Flipkart","","",""
"274","The Essential Boot Cut Jean","Flipkart","","",""
"275","The Essential Boot Cut Jean","Flipkart","","",""
"276","Flat Front  Trouser","Flipkart","","",""
"277","Flat Front  Trouser","Flipkart","","",""
"278","Flat Front  Trouser","Flipkart","","",""
"279","Flat Front  Trouser","Flipkart","","",""
"280","Flat Front  Trouser","Flipkart","","",""
"281","Flat Front  Trouser","Flipkart","","",""
"282","NoLIta Cami","Flipkart","","",""
"283","NoLIta Cami","Flipkart","","",""
"284","Black NoLIta Cami","Flipkart","","",""
"285","Tori Tank","Flipkart","","",""
"286","Tori Tank","Flipkart","","",""
"287","Tori Tank","Flipkart","","",""
"288","Delancy Cardigan Sweater","Flipkart","","",""
"289","Delancy Cardigan Sweater","Flipkart","","",""
"290","Delancy Cardigan Sweater","Flipkart","","",""
"291","Ludlow Oxford Top","Flipkart","","",""
"292","Ludlow Oxford Top","Flipkart","","",""
"293","Ludlow Oxford Top","Flipkart","","",""
"294","Elizabeth Knit Top","Flipkart","","",""
"295","Elizabeth Knit Top","Flipkart","","",""
"296","Elizabeth Knit Top","Flipkart","","",""
"297","Essex Pencil Skirt","Flipkart","","",""
"298","Essex Pencil Skirt","Flipkart","","",""
"299","Essex Pencil Skirt","Flipkart","","",""
"300","Essex Pencil Skirt","Flipkart","","",""
"301","Essex Pencil Skirt","Flipkart","","",""
"302","Racer Back Maxi Dress","Flipkart","","",""
"303","Racer Back Maxi Dress","Flipkart","","",""
"304","Racer Back Maxi Dress","Flipkart","","",""
"305","Sheath","Flipkart","","",""
"306","Sheath","Flipkart","","",""
"307","Sheath","Flipkart","","",""
"308","Sheath","Flipkart","","",""
"309","Sheath","Flipkart","","",""
"310","Convertible Dress","Flipkart","","",""
"311","Convertible Dress","Flipkart","","",""
"312","Convertible Dress","Flipkart","","",""
"313","Convertible Dress","Flipkart","","",""
"314","Convertible Dress","Flipkart","","",""
"325","Park Avenue Pleat Front Trousers","Flipkart","","",""
"326","Park Avenue Pleat Front Trousers","Flipkart","","",""
"327","Park Avenue Pleat Front Trousers","Flipkart","","",""
"328","Park Avenue Pleat Front Trousers","Flipkart","","",""
"329","Park Avenue Pleat Front Trousers","Flipkart","","",""
"337","Aviator Sunglasses","Flipkart","","",""
"338","Jackie O Round Sunglasses","Flipkart","","",""
"339","Retro Chic Eyeglasses","Flipkart","","",""
"340","Barclay d'Orsay pump, Nude","Flipkart","","",""
"341","Barclay d'Orsay pump, Nude","Flipkart","","",""
"342","Barclay d'Orsay pump, Nude","Flipkart","","",""
"343","Barclay d'Orsay pump, Nude","Flipkart","","",""
"344","Barclay d'Orsay pump, Nude","Flipkart","","",""
"345","Ann Ankle Boot","Flipkart","","",""
"346","Ann Ankle Boot","Flipkart","","",""
"347","Ann Ankle Boot","Flipkart","","",""
"348","Ann Ankle Boot","Flipkart","","",""
"349","Ann Ankle Boot","Flipkart","","",""
"350","Hana Flat, Charcoal","Flipkart","","",""
"351","Hana Flat, Charcoal","Flipkart","","",""
"352","Hana Flat, Charcoal","Flipkart","","",""
"353","Hana Flat, Charcoal","Flipkart","","",""
"354","Hana Flat, Charcoal","Flipkart","","",""
"355","Dorian Perforated Oxford","Flipkart","","",""
"356","Dorian Perforated Oxford","Flipkart","","",""
"357","Dorian Perforated Oxford","Flipkart","","",""
"358","Dorian Perforated Oxford","Flipkart","","",""
"359","Dorian Perforated Oxford","Flipkart","","",""
"360","Wingtip Cognac Oxford","Flipkart","","",""
"361","Wingtip Cognac Oxford","Flipkart","","",""
"362","Wingtip Cognac Oxford","Flipkart","","",""
"363","Wingtip Cognac Oxford","Flipkart","","",""
"364","Wingtip Cognac Oxford","Flipkart","","",""
"365","Suede Loafer, Navy","Flipkart","","",""
"366","Suede Loafer, Navy","Flipkart","","",""
"367","Suede Loafer, Navy","Flipkart","","",""
"368","Suede Loafer, Navy","Flipkart","","",""
"369","Suede Loafer, Navy","Flipkart","","",""
"370","Isla Crossbody Handbag","Flipkart","","",""
"371","Florentine Satchel Handbag","Flipkart","","",""
"372","Flatiron Tablet Sleeve","Flipkart","","",""
"373","Broad St. Flapover Briefcase","Flipkart","","",""
"374","Houston Travel Wallet","Flipkart","","",""
"375","Roller Suitcase","Flipkart","","",""
"376","Classic Hardshell Suitcase 21""","Flipkart","","",""
"377","Classic Hardshell Suitcase 29""","Flipkart","","",""
"378","Body Wash with Lemon Flower Extract and Aloe Vera","Flipkart","","",""
"379","Bath Minerals and Salt","Flipkart","","",""
"380","Shea Enfused Hydrating Body Lotion","Flipkart","","",""
"381","Titian Raw Silk Pillow","Flipkart","","",""
"382","Shay Printed Pillow","Flipkart","","",""
"383","Carnegie Alpaca Throw","Flipkart","","",""
"384","Park Row Throw","Flipkart","","",""
