product_id,product_name,competitor_name,competitor_url,competitor_sku,competitor_price
"231","French Cuff Cotton Twill Oxford","Amazon","www.amazon.com/caff","caff456","10000"
"233","French Cuff Cotton Twill Oxford","Amazon","www.amazon.com/show","show456","10000"
"233","French Cuff Cotton Twill Oxford","Amazon","","",""
"234","Slim fit Dobby Oxford Shirt","Amazon","","",""
"235","Slim fit Dobby Oxford Shirt","Amazon","","",""
"236","Slim fit Dobby Oxford Shirt","Amazon","","",""
"237","Plaid Cotton Shirt","Amazon","","",""
"238","Plaid Cotton Shirt","Amazon","","",""
"239","Plaid Cotton Shirt","Amazon","","",""
"240","Sullivan Sport Coat","Amazon","","",""
"241","Sullivan Sport Coat","Amazon","","",""
"242","Sullivan Sport Coat","Amazon","","",""
"243","Linen Blazer","Amazon","","",""
"244","Linen Blazer","Amazon","","",""
"245","Linen Blazer","Amazon","","",""
"246","Stretch Cotton Blazer","Amazon","","",""
"247","Stretch Cotton Blazer","Amazon","","",""
"248","Stretch Cotton Blazer","Amazon","","",""
"249","Chelsea Tee","Amazon","","",""
"250","Chelsea Tee","Amazon","","",""
"251","Chelsea Tee","Amazon","","",""
"252","Chelsea Tee","Amazon","","",""
"253","Chelsea Tee","Amazon","","",""
"254","Chelsea Tee","Amazon","","",""
"255","Merino V-neck Pullover Sweater","Amazon","","",""
"256","Merino V-neck Pullover Sweater","Amazon","","",""
"257","Merino V-neck Pullover Sweater","Amazon","","",""
"258","Lexington Cardigan Sweater","Amazon","","",""
"259","Lexington Cardigan Sweater","Amazon","","",""
"260","Lexington Cardigan Sweater","Amazon","","",""
"261","Core Striped Sport Shirt","Amazon","","",""
"262","Core Striped Sport Shirt","Amazon","","",""
"263","Core Striped Sport Shirt","Amazon","","",""
"267","Bowery Chino Pants","Amazon","","",""
"268","Bowery Chino Pants","Amazon","","",""
"269","Bowery Chino Pants","Amazon","","",""
"270","The Essential Boot Cut Jean","Amazon","","",""
"271","The Essential Boot Cut Jean","Amazon","","",""
"272","The Essential Boot Cut Jean","Amazon","","",""
"273","The Essential Boot Cut Jean","Amazon","","",""
"274","The Essential Boot Cut Jean","Amazon","","",""
"275","The Essential Boot Cut Jean","Amazon","","",""
"276","Flat Front  Trouser","Amazon","","",""
"277","Flat Front  Trouser","Amazon","","",""
"278","Flat Front  Trouser","Amazon","","",""
"279","Flat Front  Trouser","Amazon","","",""
"280","Flat Front  Trouser","Amazon","","",""
"281","Flat Front  Trouser","Amazon","","",""
"282","NoLIta Cami","Amazon","","",""
"283","NoLIta Cami","Amazon","","",""
"284","Black NoLIta Cami","Amazon","","",""
"285","Tori Tank","Amazon","","",""
"286","Tori Tank","Amazon","","",""
"287","Tori Tank","Amazon","","",""
"288","Delancy Cardigan Sweater","Amazon","","",""
"289","Delancy Cardigan Sweater","Amazon","","",""
"290","Delancy Cardigan Sweater","Amazon","","",""
"291","Ludlow Oxford Top","Amazon","","",""
"292","Ludlow Oxford Top","Amazon","","",""
"293","Ludlow Oxford Top","Amazon","","",""
"294","Elizabeth Knit Top","Amazon","","",""
"295","Elizabeth Knit Top","Amazon","","",""
"296","Elizabeth Knit Top","Amazon","","",""
"297","Essex Pencil Skirt","Amazon","","",""
"298","Essex Pencil Skirt","Amazon","","",""
"299","Essex Pencil Skirt","Amazon","","",""
"300","Essex Pencil Skirt","Amazon","","",""
"301","Essex Pencil Skirt","Amazon","","",""
"302","Racer Back Maxi Dress","Amazon","","",""
"303","Racer Back Maxi Dress","Amazon","","",""
"304","Racer Back Maxi Dress","Amazon","","",""
"305","Sheath","Amazon","","",""
"306","Sheath","Amazon","","",""
"307","Sheath","Amazon","","",""
"308","Sheath","Amazon","","",""
"309","Sheath","Amazon","","",""
"310","Convertible Dress","Amazon","","",""
"311","Convertible Dress","Amazon","","",""
"312","Convertible Dress","Amazon","","",""
"313","Convertible Dress","Amazon","","",""
"314","Convertible Dress","Amazon","","",""
"325","Park Avenue Pleat Front Trousers","Amazon","","",""
